#OTUID	taxonomy	USEARCH	SINTAX	UTAX
ASV12357	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Rhizaria,p:Cercozoa	No hit
ASV12358	GS|96.4|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV12359	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV12360	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12361	GS|99.2|UDB06372152|SH0955987.09FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae,g:Rhizoglomus	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae,g:Rhizoglomus	k:Fungi,p:Glomeromycota	No hit
ASV12362	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12363	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12364	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12365	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12366	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12367	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12368	GS|100.0|MF155973|SH1081689.09FU;k:Fungi	k:Fungi	No hit	No hit
ASV12369	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12371	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12372	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12373	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12374	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12375	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12376	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12377	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12378	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12379	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12380	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12381	SS|0.8400|KX908527|SH1084400.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota,c:Dothideomycetes	No hit
ASV12382	GS|100.0|JN053114|SH0948228.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes	No hit
ASV12383	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12384	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12385	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12386	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12387	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12388	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12389	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12390	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12391	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12392	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12393	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12394	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12395	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12396	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12397	SS|1.0000|UDB03264344|SH1117426.09FU;k:Rhizaria,p:Haplosporidia	k:Rhizaria,p:Haplosporidia	k:Rhizaria,p:Haplosporidia	No hit
ASV12398	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12400	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12401	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12402	GSL|100.0|MT586938|SH1240727.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae	No hit
ASV12403	GS|0.0|None;No hit	No hit	No hit	No hit
